Interface                      Status         Protocol           Description
Et1                            up             up                 P2P_LINK_TO_DC1_SPINE1_Ethernet1
Et2                            up             up                 P2P_LINK_TO_DC1_SPINE2_Ethernet1
Et3                            up             up                 MLAG_PEER_DC1_LEAF1B_Ethernet3
Et4                            up             up                 MLAG_PEER_DC1_LEAF1B_Ethernet4
Et5                            up             up                 server01_Eth1
Et6                            up             up                 server02_Eth1
Lo0                            up             up                 EVPN_Overlay_Peering
Lo1                            up             up                 VTEP_VXLAN_Tunnel_Source
Ma0                            up             up                 oob_management
Po3                            down           lowerlayerdown     MLAG_PEER_DC1_LEAF1B_Po3
Po5                            up             up                 server01_PortChannel5
Po6                            up             up                 server02_PortChannel6
Vl4093                         down           lowerlayerdown     MLAG_PEER_L3_PEERING
Vl4094                         up             up                 MLAG_PEER
Vx1                            up             up                 DC1_LEAF1A_VTEP
